baseline_id,attempted_runs,invalid_run_count,invalid_run_rate,evaluable_runs,system_completion_pass_rate,output_availability_rate,structured_commitment_availability_rate,structured_commitment_denominator,no_feasible_denominator,repair_denominator,hard_constraint_violation_rate,evidence_coverage_failure_rate,witness_drop_rate,consequence_continuity_failure_rate,no_feasible_emission_rate,abstention_repair_correctness_rate,inappropriate_personalization_rate,surface_realization_failure_rate,avg_latency_ms,avg_prompt_cost_units
raw_prompt_stuffing,360,0,0,360,1,1,0.7833,282,60,140,0.1277,0.4113,0.0674,0.4468,0.0333,0.4571,0,0.7833,32952,3218
summarized_profile,360,0,0,360,1,1,0.45,162,60,140,0.2469,1,0.5988,0.9938,0.0333,0.6786,0,0.45,40869,3395
dense_retrieval_rag,360,0,0,360,1,1,0.7333,264,60,140,0.1364,0.2803,1,1,0.3833,0.3571,0,0.7333,31216,2612
long_context_llm,360,0,0,360,1,1,0.7278,262,60,140,0.1565,0.5344,0.0649,0.5458,0.0333,0.4786,0,0.7278,33569,3279
tool_memory_agent,360,0,0,360,1,1,0.75,270,60,140,0.1704,0.4407,0.6926,0.6074,0.0333,0.4643,0,0.75,33502,3189
validator_only,360,0,0,360,1,1,0.4028,145,60,140,0.2759,0.4621,1,1,0,1,0,0.4028,32716,2778
runtime_without_cbea,360,0,0,360,1,1,0.5,180,60,140,0.2444,0.4889,0.7778,0.5222,0,1,0,0.5,37647,3542
cbea_lcv_runtime,360,0,0,360,1,1,0.5,180,60,140,0,0,0,0,0,1,0,0.5,34093,3178
oracle_evidence_upper_bound,360,0,0,360,1,1,0.6111,220,60,140,0,0,0,0,0,1,0,0,,
