baseline_id,attempted_runs,invalid_run_count,structured_commitment_availability_rate,hard_constraint_violation_rate,evidence_coverage_failure_rate,witness_drop_rate,consequence_continuity_failure_rate,no_feasible_emission_rate,abstention_repair_correctness_rate,surface_realization_failure_rate,avg_latency_ms
cbea_lcv_runtime,360,0,0.8361,0.0631,0.0532,0.0465,0.0498,0.0066,0.9508,0.8361,25785
cbea_no_validator,360,0,0.8583,0.1521,0.1489,0.1553,0.0971,0.068,0.5417,0.8583,35194
cbea_no_repair_abstain,360,0,1,0.2,0.0222,0.025,0.0139,0.1667,0,1,26013
cbea_no_coverage_tail,360,0,0.8167,0.2143,1,1,1,0.0068,0.8657,0.8167,33800
