diagnostic,fixtures,methods,attempted_runs,invalid_run_count,budget_exhausted_json_failures,parseable_commitments,token_budget,notes
matched_budget_stopped,360,3,64,64,64,0,2200,formal matched-budget run stopped after all attempted calls exhausted the JSON budget
low_concurrency_check,3,1,3,3,3,0,2200,low-concurrency check reproduced invalid budget-exhausted attempts
extended_budget_sample,1,1,1,0,0,1,8800,one CBEA+LCV sample parsed and validated at the extended token budget
extended_budget_diagnostic,12,3,27,0,0,27,8800,small unmatched diagnostic parsed before stopping; not used as 360-fixture backend sensitivity
