baseline_id,horizon_group,fixture_count,structured_count,hard_constraint_violation_rate,witness_drop_rate,consequence_continuity_failure_rate,repair_correctness_rate,avg_parse_retries,avg_latency_ms
raw_prompt_stuffing,2-domain,144,119,0.1176,0.0672,0.4622,0.4286,0.13,32142.99
raw_prompt_stuffing,3-domain,144,106,0.1792,0.0943,0.4623,0.5000,0.15,33369.25
raw_prompt_stuffing,4-domain,72,57,0.0526,0.0175,0.3860,0.4286,0.19,33735.06
cbea_lcv_runtime,2-domain,144,80,0.0000,0.0000,0.0000,1.0000,0.15,32336.15
cbea_lcv_runtime,3-domain,144,61,0.0000,0.0000,0.0000,1.0000,0.24,36543.04
cbea_lcv_runtime,4-domain,72,39,0.0000,0.0000,0.0000,1.0000,0.14,32705.54
